Category: All categories,
,
Week,drone racing: (Worldwide)
11/9/2014,2
11/16/2014,2
11/23/2014,4
11/30/2014,6
12/7/2014,7
12/14/2014,5
12/21/2014,5
12/28/2014,4
1/4/2015,6
1/11/2015,5
1/18/2015,5
1/25/2015,6
2/1/2015,5
2/8/2015,6
2/15/2015,5
2/22/2015,7
3/1/2015,6
3/8/2015,7
3/15/2015,7
3/22/2015,7
3/29/2015,7
4/5/2015,6
4/12/2015,6
4/19/2015,4
4/26/2015,5
5/3/2015,6
5/10/2015,7
5/17/2015,6
5/24/2015,5
5/31/2015,5
6/7/2015,11
6/14/2015,14
6/21/2015,13
6/28/2015,10
7/5/2015,9
7/12/2015,14
7/19/2015,17
7/26/2015,20
8/2/2015,11
8/9/2015,15
8/16/2015,14
8/23/2015,11
8/30/2015,11
9/6/2015,10
9/13/2015,9
9/20/2015,10
9/27/2015,12
10/4/2015,11
10/11/2015,11
10/18/2015,10
10/25/2015,11
11/1/2015,12
11/8/2015,12
11/15/2015,14
11/22/2015,15
11/29/2015,12
12/6/2015,14
12/13/2015,15
12/20/2015,19
12/27/2015,19
1/3/2016,16
1/10/2016,13
1/17/2016,15
1/24/2016,100
1/31/2016,56
2/7/2016,37
2/14/2016,29
2/21/2016,26
2/28/2016,26
3/6/2016,25
3/13/2016,34
3/20/2016,27
3/27/2016,23
4/3/2016,25
4/10/2016,29
4/17/2016,29
4/24/2016,26
5/1/2016,28
5/8/2016,24
5/15/2016,24
5/22/2016,24
5/29/2016,28
6/5/2016,22
6/12/2016,21
6/19/2016,22
6/26/2016,24
7/3/2016,20
7/10/2016,22
7/17/2016,23
7/24/2016,20
7/31/2016,26
8/7/2016,26
8/14/2016,23
8/21/2016,22
8/28/2016,20
9/4/2016,22
9/11/2016,37
9/18/2016,30
9/25/2016,25
10/2/2016,26
10/9/2016,26
10/16/2016,23
10/23/2016,34
10/30/2016,33
11/6/2016,43
11/13/2016,52
11/20/2016,60
11/27/2016,46
12/4/2016,43
12/11/2016,45
12/18/2016,75
12/25/2016,32
1/1/2017,54
1/8/2017,34
1/15/2017,56
1/22/2017,57
1/29/2017,67
2/5/2017,86
2/12/2017,43
2/19/2017,34
2/26/2017,55
3/5/2017,53
3/12/2017,62
